Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2009","2009","100 g/ha","16969","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2010","2010","100 g/ha","18874","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2011","2011","100 g/ha","16458","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2012","2012","100 g/ha","18712","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2013","2013","100 g/ha","17240","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2014","2014","100 g/ha","17291","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2015","2015","100 g/ha","19218","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2016","2016","100 g/ha","19500","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2017","2017","100 g/ha","20112","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2018","2018","100 g/ha","22589","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2019","2019","100 g/ha","25313","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2020","2020","100 g/ha","25828","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2021","2021","100 g/ha","25300","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","2022","2022","100 g/ha","25044","X","Figure from international organizations",""
